A1, Alex, NO DESCRIPTION YET
A2, Hope, NO DESCRIPTION YET
A3, Laura, NO DESCRIPTION YET
A4, Paul, Exactly 2 of Jerry's 4 innocent neighbors also neighbor Olive
A5, Uma, NO DESCRIPTION YET
B1, Bruce, NO DESCRIPTION YET
B2, Isaac, Donna is one of 2 criminals in row 1
B3, Megan, NO DESCRIPTION YET
B4, Ruby, NO DESCRIPTION YET
B5, Wally, NO DESCRIPTION YET
C1, Cheryl, NO DESCRIPTION YET
C2, Jerry, NO DESCRIPTION YET
C3, Nick, There is only one innocent to the right of Laura
C4, Saga, NO DESCRIPTION YET
C5, Xavi, NO DESCRIPTION YET
D1, Donna, NO DESCRIPTION YET
D2, Katie, There's an odd number of innocents to the right of Alex
D3, Olive, NO DESCRIPTION YET
D4, Thor, NO DESCRIPTION YET
D5, Ziad, NO DESCRIPTION YET
